"filename", "language", "PHP", "JSON", "JavaScript", "CSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\display\placeholder.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 2, 8, 76
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\display\rulers.js", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 2, 4, 52
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\edit\closebrackets.js", "JavaScript", 0, 0, 168, 0, 0, 0, 0, 2, 22, 192
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\edit\closetag.js", "JavaScript", 0, 0, 133, 0, 0, 0, 0, 37, 15, 185
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\edit\continuelist.js", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 7, 13, 102
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\edit\matchbrackets.js", "JavaScript", 0, 0, 125, 0, 0, 0, 0, 17, 17, 159
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\edit\matchtags.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 2, 7, 67
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\edit\trailingspace.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 2, 2, 28
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\fold\brace-fold.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 3, 11, 106
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\fold\comment-fold.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 2, 6, 60
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\fold\foldcode.js", "JavaScript", 0, 0, 135, 0, 0, 0, 0, 4, 19, 158
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\fold\foldgutter.css", "CSS", 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\fold\foldgutter.js", "JavaScript", 0, 0, 145, 0, 0, 0, 0, 4, 15, 164
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\fold\indent-fold.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 8, 6, 49
